RUN	com.jeppesen.ncs.PerformanceSimulation	performancesimulation	1730124511514	 	3.0.2
USER	Load - Runway	429	START	1730124518162	1730124518162
USER	Load - Runway	430	START	1730124518174	1730124518174
USER	Load - Runway	431	START	1730124518179	1730124518179
USER	Load - Runway	432	START	1730124518184	1730124518184
USER	Load - Runway	433	START	1730124518189	1730124518189
USER	Load - Runway	434	START	1730124518194	1730124518194
USER	Load - Runway	435	START	1730124518199	1730124518199
USER	Load - Runway	436	START	1730124518204	1730124518204
USER	Load - Runway	437	START	1730124518209	1730124518209
USER	Load - Runway	438	START	1730124518214	1730124518214
USER	Load - Runway	439	START	1730124518218	1730124518218
USER	Load - Runway	440	START	1730124518232	1730124518232
USER	Load - Runway	441	START	1730124518237	1730124518237
USER	Load - Runway	442	START	1730124518241	1730124518241
USER	Load - Runway	443	START	1730124518247	1730124518247
USER	Load - Runway	444	START	1730124518253	1730124518253
USER	Load - Runway	445	START	1730124518257	1730124518257
USER	Load - Runway	446	START	1730124518263	1730124518263
USER	Load - Runway	447	START	1730124518269	1730124518269
USER	Load - Runway	448	START	1730124518274	1730124518274
USER	Load - Runway	449	START	1730124518279	1730124518279
USER	Load - Runway	450	START	1730124518294	1730124518294
USER	Load - Runway	451	START	1730124518300	1730124518300
USER	Load - Runway	452	START	1730124518304	1730124518304
USER	Load - Runway	453	START	1730124518308	1730124518308
USER	Load - Runway	454	START	1730124518313	1730124518313
USER	Load - Runway	455	START	1730124518318	1730124518318
USER	Load - Runway	456	START	1730124518322	1730124518322
USER	Load - Runway	457	START	1730124518327	1730124518327
USER	Load - Runway	458	START	1730124518348	1730124518348
USER	Load - Runway	459	START	1730124518354	1730124518354
USER	Load - Runway	460	START	1730124518365	1730124518365
USER	Load - Runway	461	START	1730124518370	1730124518370
USER	Load - Runway	462	START	1730124518375	1730124518375
USER	Load - Runway	463	START	1730124518380	1730124518380
USER	Load - Runway	464	START	1730124518385	1730124518385
USER	Load - Runway	465	START	1730124518390	1730124518390
USER	Load - Runway	466	START	1730124518394	1730124518394
USER	Load - Runway	467	START	1730124518399	1730124518399
USER	Load - Runway	468	START	1730124518405	1730124518405
USER	Load - Runway	469	START	1730124518411	1730124518411
USER	Load - Runway	470	START	1730124518417	1730124518417
USER	Load - Runway	471	START	1730124518427	1730124518427
USER	Load - Runway	472	START	1730124518431	1730124518431
USER	Load - Runway	473	START	1730124518435	1730124518435
USER	Load - Runway	474	START	1730124518440	1730124518440
USER	Load - Runway	475	START	1730124518445	1730124518445
USER	Load - Runway	476	START	1730124518451	1730124518451
USER	Load - Runway	477	START	1730124518456	1730124518456
USER	Load - Runway	478	START	1730124518460	1730124518460
USER	Load - Runway	479	START	1730124518464	1730124518464
USER	Load - Runway	480	START	1730124518469	1730124518469
USER	Load - Runway	481	START	1730124518481	1730124518481
USER	Load - Runway	482	START	1730124518489	1730124518489
USER	Load - Runway	483	START	1730124518495	1730124518495
USER	Load - Runway	484	START	1730124518502	1730124518502
USER	Load - Runway	485	START	1730124518507	1730124518507
USER	Load - Runway	486	START	1730124518513	1730124518513
USER	Load - Runway	487	START	1730124518519	1730124518519
USER	Load - Runway	488	START	1730124518525	1730124518525
USER	Load - Runway	489	START	1730124518531	1730124518531
USER	Load - Runway	490	START	1730124518539	1730124518539
USER	Load - Runway	491	START	1730124518544	1730124518544
USER	Load - Runway	492	START	1730124518549	1730124518549
USER	Load - Runway	493	START	1730124518554	1730124518554
USER	Load - Runway	494	START	1730124518559	1730124518559
USER	Load - Runway	495	START	1730124518564	1730124518564
USER	Load - Runway	496	START	1730124518569	1730124518569
USER	Load - Runway	497	START	1730124518574	1730124518574
USER	Load - Runway	498	START	1730124518579	1730124518579
USER	Load - Runway	499	START	1730124518584	1730124518584
USER	Load - Runway	500	START	1730124518589	1730124518589
USER	Load - Runway	501	START	1730124518594	1730124518594
USER	Load - Runway	502	START	1730124518599	1730124518599
USER	Load - Runway	503	START	1730124518604	1730124518604
USER	Load - Runway	504	START	1730124518610	1730124518610
USER	Load - Runway	505	START	1730124518615	1730124518615
USER	Load - Runway	506	START	1730124518620	1730124518620
USER	Load - Runway	507	START	1730124518626	1730124518626
USER	Load - Runway	508	START	1730124518631	1730124518631
USER	Load - Runway	509	START	1730124518636	1730124518636
USER	Load - Runway	510	START	1730124518641	1730124518641
USER	Load - Runway	511	START	1730124518647	1730124518647
USER	Load - Runway	512	START	1730124518653	1730124518653
USER	Load - Runway	513	START	1730124518660	1730124518660
USER	Load - Runway	514	START	1730124518666	1730124518666
USER	Load - Runway	515	START	1730124518671	1730124518671
USER	Load - Runway	516	START	1730124518676	1730124518676
USER	Load - Runway	517	START	1730124518681	1730124518681
USER	Load - Runway	518	START	1730124518686	1730124518686
USER	Load - Runway	519	START	1730124518692	1730124518692
USER	Load - Runway	520	START	1730124518697	1730124518697
